category,article
electronic arts games,Computer maintenance
banking,RBAC
technical intelligence,Mobility management
web scraping,Apache Tuscany
blog software,Adobe FrameMaker
volume,Smart grid
historical legal occupations,RNA
microtechnology,Maximum-entropy Markov model
r (programming language),Web hosting
grants (money),Retina
chemical processes,DFSS
christian music genres,Data integrity
fortran,Portuguese
fiber-optic communications,SAP PI
fantasy creatures,IDOL
ieee standards,VMware ThinApp
scalable vector graphics,Air traffic management
"government of contra costa county, california",MicroStrategy
foundries,SQR
symbian os,ASM
educational assessment and evaluation,MediaWiki
wars involving rhodesia,Online Help
audio network protocols,Information management
data security,IBM mainframe utility programs
automobile costs,Continuous improvement
governance,Trade promotion management
style guides for american english,MapReduce
american people of italian descent,AUTOSAR
material handling,Product design
lithography (microfabrication),SAS
file sharing,Health information exchange
proprietary cross-platform software,Teradici
wars involving costa rica,MDM
cardiac procedures,Middle office
(isc)²,HP Systems Insight Manager
windows multimedia software,Computer operator
adam and eve,Technology integration
hospitality occupations,System integration testing
scalable vector graphics,Apache Ivy
military life,Apache CXF
free software culture and documents,S-PLUS
system administration,Implementation
notary,iPhone
history of technology,Object Data Manager
signal processing,BPEL4People
android (operating system) software,Symmetrix
social engineering (computer security),IEEE 802.11
dietary supplements,PL/SQL
youtube,Actuate
monsters,HP
hand tools,C++
plant subfamilies,CakePHP
workplace,AutoHotkey
radio stations in connecticut,Authentication
"people from appleton, wisconsin",Random boosting
business models,Telemedicine
audio network protocols,IBM Tivoli Workload Scheduler
malian musical groups,CMVC
free software operating systems,MediaWiki
separatism in iraq,Diceware
telegraphy,Avaya
software modeling language,Turbo Pascal
intelligence assessment,Copy editing
mechanics (trade),Fusebox
dissolution of iraq,Financial forecast
"cities in santa clara county, california",XSD
animal superheroes,Labor relations
sales occupations,OmniPlan
microsoft cloud services,Proteomics
mules,People skills
instant messaging clients,Adobe InDesign
provincial and territorial orders of canada,Repair
columbia law school alumni,STATISTICA
formal wear,tcpdump
cisco systems,AMPL
japanese robotics,Volunteer management
mineral exploration,Vehicle insurance
data interchange standards,PureMVC
power cables,TestLink
omnibus legislation,Reporting
journalism,Blueprint
judicial remedies,Production scheduling
humanities,Ixia
slovak-language surnames,Telecommunications billing
software delivery methods,Continuous delivery
freemen of the city of london,Oracle Adaptive Access Manager
joyent,Fusebox
biography with signature,Makefile
polyatomic nonmetals,Virtual office
competitive intelligence,LDOM
ibm mainframe technology,z/Linux
programming languages created by women,Routing
wars involving brazil,Relationship marketing
cognitive modeling,Design patterns
software using the apache license,Adobe Social
crm-software for os x,FDMA
pharmacy,HSDPA
early modern european swords,Requirements engineering
speech recognition software,Windows Movie Maker
nursing,AngularJS
united states department of labor agencies,expanz
education in dresden,Vietnamese
cantonal capitals of switzerland,Plesk
collaborative projects,Amazon DynamoDB
software using the open software license,SketchUp
health education organizations,SFTP
qwest records artists,EMC Invista
light machine guns,Data deduplication
java platform software,CIDNE
open standards covered by patents,Internship
irish musical instruments,Content migration
data compression software,Veritas Storage Foundation
nvidia software,Regression analysis
microsoft free software,Kofax
chinese languages in singapore,Proteomics
cold war surface-to-air missiles of the united states,Workforce planning
application software,Query optimization
members of the guild of saint luke,Mathematical modeling
american medical research,RMDS
modes of production,OOD
distributed computing architecture,Sound design
secure communication,VAX
cumulus media radio stations,Product planning
cable television technology,FMECA
7th-century women,Telecommunications
electrical power connectors,IBM Rational Rhapsody
dielectrics,IBM RPG III
hypertext transfer protocol,MAS 90
2nd-century romans,Data masking
encryption devices,CMMI
programming language classification,Voronoi diagrams
microkernel-based operating systems,Mechanics
systems engineering,Field service management
wars involving malta,Task analysis
wars involving malta,SAXS
authentication protocols,RISA
disney technology,Incident management
identity management systems,Sprint
small business,HP WinRunner
computer access control frameworks,Automic
software written primarily in assembly language,Mantis
macos graphics software,Compressed sensing
journalism,MPLAB
organizational theory,XACML
small business,Direct sales
charles river,Hortonworks
performing arts,Data collection
cities in the san francisco bay area,Data link layer
light machine guns,Brocade
life sciences,3D animation
wedding clothing,Oracle Data Integrator
philosophy of life,FTIR
real-time operating systems,GMLAN
word coinage,MPLS VPN
reality,Cross-functional team
garden plants of north america,Server+
pervasive developmental disorders,General Ledger
graphics file formats,Engineering technologist
asset,NICE
precious metals,PACS
"ships built in lorain, ohio",Veritas Cluster Server
emc storage devices,Design patterns
telemedicine,CaseComplete
windows commands,EMC ViPR
free web browsers,CCTV
assassination attempt survivors,PeopleSoft
public safety communications,Information security governance
medical imaging,Management information systems
lisp programming language family,Tactical Data Links
fiber-optic communications,Foundstone
patient protection and affordable care act,Ubuntu
hawaiian words and phrases,Cloud Foundry
software development process,Microsoft Windows 2000
geographical technology,Apache ZooKeeper
building automation,Fleet management
disk encryption,Agile testing
national symbols of syria,Tandem
mathematical terminology,HP ProCurve
information technology consulting firms,Esri
buildings and structures in davao city,Software asset management
typography,FICA
routing protocols,RADIUS
internet service providers,IBM Tivoli Workload Scheduler
planning,Capacity management
proprietary cross-platform software,Power electronics
8th-century english people,Rocket U2
microsoft free software,DMVPN
data visualization software,Video tracking
rock mechanics,Higher education
california republicans,WinHex
computational fields of study,AnthillPro
operating system technology,SOX 404
united states department of energy national laboratories,GDPS
export and import control,Rackspace
american anti-fascists,Telecommuting
joyent,Medical imaging
coatings,JDA
professional ethics,Delegation
free customer relationship management software,Process analysis
operating systems based on the linux kernel,OHSAS 18001
imac series,Customer service
glass physics,Retail
tests,Adobe BrowserLab
packing problems,CQRS
computational science,Sonar
medical imaging,FedEx
fluid mechanics,Marketing analytics
american male radio actors,NTFS-3G
virtual communities,Enterprise application integration
internet service providers,Oracle Fusion Architecture
knowledge sharing,OWASP
units of length,Design thinking
rebel groups in syria,Knowledge management
packing problems,FoxPro
french male painters,Apache Avro
lists of coordinates,OOAD
embedded linux distributions,Finnix
"roseland, new jersey",Gambit
open standards covered by patents,Apache Camel
jedec standards,FTIR
hdr tone mapping software,MVS
earth sciences,Google Webmaster Tools
ipsec,cPanel
food safety,System documentation
rpm-based linux distributions,ACORD
metadata registry,Changeman
structured storage,Siebel Analytics
information governance,MLton
crime prevention,FEAF
sql data access,Automic
free software programmed in javascript,Software modernization
cryptographic protocols,Ambulatory care
materials handling,Affiliate marketing
digital radio,Apache Attic
mobile telecommunications standards,Engineering analysis
electronic trading platforms,Mobile development
7th-century births,BOFC
governance,Japanese
military terminology,Oracle RAC
operating systems based on the linux kernel,GEAC
government accounting officials,Continuous delivery
computer storage media,Informatica
"rivers of middlesex county, massachusetts",Visual control
hacking (hobbyist),Debt restructuring
occupational safety and health,SAP R/3
automation software,Itko
robot operating systems,Java
oracle software,LVTS
dissolution of iraq,TeamQuest
belief,Derivatives
biological engineering,Sales management
life sciences,Linked Data
open-source intelligence,Traceability matrix
petroleum production,EIGRP
electromagnetic radiation,Control flow analysis
tor (anonymity network),MLton
employee benefits,Multimedia
school qualifications,OFDM
engineering concepts,New business development
free data analysis software,Rexx
databases,Supplier relationship management
directed-energy weapons,ILT
healthcare software for os x,Standard operating procedure
garden plants of north america,Job scheduling
computer connectors,VAX
tax reform,Bilingual
telephone crimes,Apache ZooKeeper
android wear software,JasperSoft
managed care,Web 2.0
surgery,Word processor
jackets,Nanolithography
electric power transmission systems,POJO
disney technology,Manufacturing
assassination attempt survivors,Mantis
automotive lamps,RTSP
human activities with impact on the environment,NAT
science software that uses qt,Single source publishing
macos graphics software,Business-IT alignment
dtp for os x,IDLE
job evaluation,QEMU
unified communications,MIIS
congressional gold medal recipients,Keynote DeviceAnywhere
hawaiian words and phrases,MayaVi
spanish words and phrases,LiveJournal
iberian peninsula,BTEQ
vehicle telematics,Software documentation
cognition,Proteomics
italian-language television stations,MyEclipse
former nationalised industries of the united kingdom,MQTT
interior design,Statistical mechanics
symbian os,OpenGL
computer access control,Final Cut Studio
occupations,3D animation
lossy compression algorithms,Calibration
currencies of asia,SDTM
discovery and invention controversies,Recovery
tree tapping,Complex sales
windows mobile,YouTube
social finance,OFDM
reports on finance and business,End-user computing
7th-century women,Retargeting
companies in the dow jones industrial average,CISA
google software,Oracle Clinical
software design,End-user computing
internet,HQL
applied machine learning,SOX 404
disaster recovery,Educational technology
powerpc emulators,Solid mechanics
american people of dutch descent,Panvalet
health economics,Software metrics
haskell programming language family,SGSN
people associated with the new deal,SVG
mythological felines,Electronic packaging
computer security standards,Adobe PageMill
wars involving brazil,RedPrairie
database administration tools,MSC Software
theft,Behavioral modeling
adobe flash,Programmable logic controller
sports venues in ontario,Media relations
microelectronic and microelectromechanical systems,Innovation management
ipsec,PBX
asp accounting systems,DATATRIEVE
windows commands,Audio editing
soccer leagues in canada,Project commissioning
natural language processing toolkits,Serial communication
fiscal policy,YQL
software using the eupl license,ArcGIS
opendocument,Ektron
occupational safety and health,GlassFish
95 births,Cacti
educational technology,4GL
computer networks,ISO/IEC 27001:2005
small business,IBM WebSphere Commerce
national symbols of serbia,iManage
marine edible fish,Voice of the customer
computer-aided manufacturing,QGIS
inside out music albums,Adobe Experience Manager
nuclear medicine,Process integration
software engineering costs,TRIRIGA
hospitality occupations,Office Open XML
management occupations,VistA EHR
database engines,Haml
free data analysis software,Telepresence
cross-platform web browsers,Project portfolio management
member states of the council of europe,Oracle Adaptive Access Manager
vaudeville performers,Foundry
google software,ARINC 653
nagios,Balanced scorecard
google software,HP Business Service Management
jargon,Microscope
biometrics,ZigBee
c compilers,Visual FoxPro
ethical investment,Investment control
digital library software,Disk imaging
virtual communities,Treasury management
postgresql,Educational technology
diagrams,Job wrapping
sociology of scientific knowledge,PaaS
digital circuits,Network
infographics,CWTS
file sharing services,Mondo Rescue
aluminium minerals,Variable data printing
cryptography,Telematics
united states proposed federal legislation,Datameer
calendaring software,Oracle Data Integrator
oujda,Amanda
ocaml programming language family,Genesys
catholic titular sees in europe,Unified messaging
mortgage,Muse
programming language semantics,SQLite
exercise physiology,Strategic management
computing input devices,Surveying
metadata standards,Computer cluster
google maps,RMCA
polka derivatives,ImageJ
pattern matching,Creative writing
fortran,JAXB
netiq software,Asterisk
populated places established in the 10th century,Esri
e7 nations,PDD
science software that uses gtk+,CA-11
mathematical terminology,WinDbg
"redlands, california",Product costing
international relations,OrgSync
audio amplifiers,Server farms
pharmaceutics,Corel Painter
carnegie mellon university,Chromatography
corporate crime,Biophysics
miquelon-langlade,Hyperion
transatlantic (band) albums,CPOE
"antioch, california",SOAP
audio programming languages,Gray box testing
hugo award-winning works,JavaBeans
coaxial connectors,RNA
commodities used as an investment,Redis
financial technology,Cloud
bigtable implementations,Web application security
information technology management,Biology
macos email clients,Media management
cybernetics,Information security governance
video games set in peru,Regular expression
telephony signals,Decision support
financial routing standards,V-Ray
business process,Metrology
heraclitus,SNMP
web mapping,FRACAS
grants (money),Interface design
midi,Satellite
flynn's taxonomy,DoD
north american numbering plan,SAP IS-U
state agencies of illinois,OUD
social security (united states),Cairngorm
web portals,Kintana
"charities based in washington, d.c.",CodeIgniter
internet culture,WWI
video game levels,MVNO
computational complexity theory,Corporate identity
signaling system 7,Ranorex
disaster recovery,Ghost
ipod,Genshi
personal finance,Adobe Target
tetrapod common names,IT management
river morphology,Design review
pack animals,Oracle Policy Automation
crypto-anarchism,Software development methodology
3d computer graphics,Mondo Rescue
chinese culture,Meteor
user interfaces,LED
populated places established in the 10th century,MoCA
client-server database management systems,PPAP
international business,Operations support systems
flynn's taxonomy,MIMO
ftp server software,Supervision
8th-century english people,TACACS
virginia commonwealth university,Altium Designer
former nationalised industries of the united kingdom,Creative writing
emv,Pair programming
metadata standards,iOS
lan airlines,Crowdsource testing
rna,Remote sensing
institutional investors,Online machine learning
education and training occupations,PySide
innovation economics,ATPG
windows mobile standard software,Pharmacy technician
birds of prey,Accounts receivable
beos text editors,XPath
member states of the union for the mediterranean,OpenCL
environmental standards,Apache Cordova
organisations based in assam,MUMPS
distributed computing architecture,RDZ
jackets,HR management
medicinal chemistry,Failure analysis
data compression,Google Chrome
podcasting,Symantec Endpoint Protection
kennedy center honorees,Skype
18th-century weapons,UXD
malnutrition organizations,Cisco Packet Tracer
telecommunication theory,JAX-RS
finite element software,IBM Tivoli Workload Scheduler
asanas,Lawsuit
mac os software,IBM RPG III
antioxidants,Crucible
internet service providers,DotNetNuke
15th-century italian painters,Copy editing
mantodea,Responsive design
national symbols of poland,Umbraco
professional sports leagues in canada,BYOD
waste legislation in the european union,Command Prompt
proprietary software,Organizational development
blackberry software,Shipping
jersey,JCL
nokia,OEM
sound production,Immigration
electronic documents,GoGrid
organizations,OUD
architectural design,Wireless
animal charities,Demandware
mac os apis,Numara
netiq software,FTIR
soccer leagues in canada,MAPPER
open standards covered by patents,5ESS switch
data warehousing,Microsoft XNA
dissolution of syria,JavaPOS
industrial design,NOMAD
income statement,FitNesse
gustav kirchhoff,WHQL
cross-platform web browsers,Routing Information Protocol
american male voice actors,Metalink
web browsers for android,OpenLaszlo
mumps programming language,IBM Tivoli Storage Manager
design engineering,Brokerage
algorithm description languages,Apache XML
creative commons-licensed websites,Computer forensics
help desk software,Meteor
c sharp libraries,HotSpot
chief security officers,Property management
nokia,Learning to rank
oral communication,Adobe PageMill
world war ii airfields in morocco,Computational science
literate programming,Startups
chemical substances,Nortel
accipitridae,Octave
ibm db2,Digital illustration
client-server database management systems,ArcServer
military communications of the united states,MrSID
electrical power connectors,USMT
python web frameworks,Implementation
rafael advanced defense systems,Lawsuit
out-of-band management,Data management
mach (kernel),Contextual inquiry
human–computer interaction,White hat
american male radio actors,Payment processing
java virtual machine,Zachman Framework
motor control,POWL
disk encryption,LS-DYNA
selenium,Lean
web syndication,MySQL
malian musical groups,IMINT
metal blade records albums,Financial reporting
conservative parties in the united states,Serial ATA
numerical linear algebra,Post-production
xml data access,Reporting
emc storage devices,CANoe
irregular military,Thread
windows-only software,ICD-10
20th-century american male actors,Ample SDK
building materials,OpenEdge ABL
pricing,SAP EWM
bounce tv affiliates,Enscribe
wamp,Sybase
container formats,File systems
freemen of the city of london,Hitachi
computer access control frameworks,Signal integrity
horned deities,Test methods
community development,JRockit
vector graphics editors for linux,Restructuring
packaging machinery,SSO
free pdf software,Hand tools
opendocument,FOCUS
public relations techniques,Sound Forge
history of labor relations in the united states,PowerPC
nursing credentials and certifications,Brainstorming
cumulus media radio stations,EPPM
software version histories,Microsoft Access
network-attached storage,Dynamic testing
insulin therapies,Functional requirements
digital media,Data compression
cardiac electrophysiology,EPA
portfolio theories,Decision-making
boot loaders,Creativity
mortgage,OLE DB
web service providers,Solaris
android (operating system) development software,FDMA
career and technical education,OSIsoft
democratic party (united states) vice presidential nominees,Hardening
weapons of russia,ATPG
mumps programming language family,Corel Paint Shop Pro
airports in morocco,Microsoft Visual SourceSafe
pascal programming language family,DoD
crime prevention,MVS
securities (finance),AOP
timing in electronic circuits,Socket programming
former music venues in new york city,CentOS
japan,SIGTRAN
android (operating system) development software,Retail banking
automation,Security clearance
art genres,Web conferencing
detectives and criminal investigators,HootSuite
concatenative programming languages,Apache XAP
software engineering costs,Aperture
crowdsourcing,RMCA
types of espionage,Vehicle insurance
generative linguistics,Wireless security
united states department of labor agencies,Avaya
artificial satellites orbiting earth,AnthillPro
vehicle telematics,NAT
database security,POSIX
consensus,Tablet
usb,Numerical control
banking,Proteomics
fictional turtles,Interactive Disassembler
cantonal capitals of switzerland,Routing
united states air force,Training and development
cold war surface-to-air missiles of the united states,Network cabling
20th-century american singers,Investment analysis
digital forensics certification,Fiber channel
compiler construction,WCF Data Services
social software,Database security
design,Management agent
balance sheet,Oracle Application Framework
enterprise linux distributions,High availability
video compression,Core banking
netiq software,ServerCentral
huawei,WPF
adobe integrated runtime platform software,Dell
networking hardware,Videoconferencing
jargon,Outbound marketing
market research,OpenVZ
open-source intelligence,OAuth
pharmacies,Ceridian
simulation programming languages,Keynote DeviceAnywhere
synthetic diamond,Subnetwork
microsoft cloud services,PDCA
command-line software,Communications protocol
linux programming tools,Mondo Rescue
ibm software,Brown clustering
plant subfamilies,Oracle Fusion Architecture
flynn's taxonomy,Financial services
nokia,Manufacturing
group decision-making,J2ME
filmmaking occupations,POWL
land management,JMS
ocaml programming language family,z/VSE
2nd-century romans,Injection molding
note-taking software,SilkTest
"urbandale, iowa",eCollege
web server software,Random boosting
open-source software hosting facilities,NIST
image organizers,CMTS
signaling system 7,Computer forensics
computational science,Oracle Fusion
wesley clover,HVAC
meteorological data and networks,Ghost imaging
general electric healthcare subsidiaries,ADA
learning disabilities,WAIK
c++ compilers,Postfix
remote administration software,JVM
science software that uses qt,Software design
interior design,Protel
physical layer protocols,Product optimization
html,Software licensing
american philatelic society,IBM Tivoli Workload Scheduler
child labor in the united states,Event management
asanas,Regression analysis
proprietary software that uses qt,21 CFR Part 11
statistical algorithms,Payment processing
web scraping,Computer repair
open standards covered by patents,Lasers
sound,Payments
artificial neural networks,SAP IS-U
transformers (electrical),Time series
democratic party (united states) vice presidential nominees,Bluetooth
consulting,Product planning
science fiction video games,PSSE
personal finance,GoToMyPC
cisco systems,Adobe
disaster preparedness,GDB
violins,DO-178B
types of business entity,Granite
sports venues in ontario,QuickBooks
radiography,Librarian
chemical substances,Strategic management
jackets,NIST
user interface techniques,CentOS
good practice,Microsoft Commerce Server
text messaging,Brainstorming
financial services,Office Assistant
employee benefits,ILT
calendaring software,XIV
dissolution of iraq,Easytrieve
x-ray scattering,DRBD
composite data types,DO-160
tor (anonymity network),Revenue management
information operations and warfare,Domain controllers
git (software),Liferay
radioactive contamination,Synopsys
free software programmed in java (programming language),Software architecture
linux games,Apache Torque
software engineering,Motivation
free software programmed in javascript,Payroll
building automation,Chef
rpm-based linux distributions,SOS
prince2,NOMAD
greek goddesses,MIT
science software that uses qt,Signal integrity
load testing tools,Treasury management
telecommunications,Apache Mobile Filter
italian feminine given names,Windows PowerShell
american magicians,TDM
chemical processes,Altera Quartus
malnutrition organizations,Hercules
technical specifications,Microsoft XNA
history of labor relations in the united states,ColdFusion
automotive lamps,Data governance
knowledge sharing,PDA
high integrity programming language,COBRA
technical specifications,Protel
"cities in santa clara county, california",TeaLeaf
educational evaluation methods,Western blotting
good practice,Agile
swaminarayan sect of hinduism,CISSP
accipitridae,JAX-RS
human activities with impact on the environment,Sequence diagrams
computer data,NOMAD
north american numbering plan,Production engineering
art materials,Endeca
theoretical physics,Markov chain
ancient roman leisure,Icon design
people with poliomyelitis,Semantic Web
persistence frameworks,Infinium
people in information technology,V-Ray
free web server software,Procurement
animation,Curriculum
measurement and signature intelligence,Signal integrity
source-based linux distributions,GoToAssist
microkernels,Organizational development
geobox usage tracking for river type,NetIQ
surveying,Google Earth
cloud platforms,Word processor
cumulus media radio stations,MBA
banking,2.5D
android emulation software,Final Cut Pro X
ireland-centric,IPsec
wars involving france,FatWire
shades of black,Apache Tika
sustainability,SSO
sensors,Project+
technology-related lists,COSO
physics institutes,Cinematography
fish of malaysia,MUMPS
university of virginia,Data cluster
petroleum engineering,Operations support system
medical ethics,Credit derivatives
computational statistics,Batch processing
programming language standards,Data cleansing
sociological theories,Technical communication
version control systems,Volume testing
usenet clients,PRPC
waste legislation in the european union,Microsoft Windows Server 2008
pharmaceutics,SAS
recommender systems,Compressed sensing
jersey,Solid modeling
national symbols of poland,Auto mechanic
geotechnical engineering,HR management
reuters,Workforce management
american people of italian descent,IBM mainframe utility programs
hand tools,MyBatis
openpgp,Business development
selling techniques,VLSI
small business,Sony Vegas Pro
mount everest,wxWidgets
american jazz singers,Advent
xml-based programming languages,eCollege
community building,VTK
hall of fame for great americans inductees,WLST
companies acquired by dell,Titration
media manipulation techniques,RedPrairie
magic (paranormal),Material characterization
lithography (microfabrication),AFATDS
defunct football clubs in england,IT performance management
federal assistance in the united states,Apache ODE
drought-tolerant plants,Agile coaching
shading languages,ISO 9000
rtt,Management skills
video compression,IRIX Interactive Desktop
netscape,Communications management
translation software,ARINC 429
control-flow analysis,Zachman Framework
telecommunications,Bloomberg
astronomical databases,Instructional design
united states government secrecy,Financing
configuration management,AUTOSAR
adobe flash,Videographer
student culture,Executive coaching
comics adapted into animated series,GDP
wars involving sri lanka,Microsoft Direct3D
english alternative rock groups,TargetProcess
syntax,Apache Wink
value added taxes,Pattern recognition
executive directors of the world food programme,DTD
power cables,x86
epic games,OmniMark
application software,DMZ
unicode,Product strategy
scientific techniques,DNSSEC
united states department of labor agencies,SMPT
low-power fm radio stations in virginia,OSI model
mac os graphics software,Apache Shale
normal distribution,k-medians
currencies of east timor,Exim
council of the european union,Applied physics
cardiopulmonary resuscitation,MIT
transmission (record label) live albums,Federal government
economics terminology,3PL
free pdf software,OpenLDAP
cobol,Windows Installer
port scanners,MicroStrategy
network-attached storage,Creative writing
windows communication and services,Crystal Enterprise
constitutional state types,Test-driven development
violins,RedPrairie
x-based libraries,Bomgar
free content management systems,DIAMETER
human–computer interaction,OpenCV
italian opera terminology,RTL
free ftp clients,XMII
film production,JAX-RPC
science fiction video games,PureMVC
statistical theory,JIRA
livejournal,Mutual funds
radiography,OOD
ordbms software for linux,Java Servlets
unesco,Medicaid
university of virginia,Sonnet
engineering universities and colleges in massachusetts,MOUS
philatelic terminology,Affiliate marketing
bartending equipment,Barcode
world war ii airfields in morocco,SNMP
creative commons-licensed databases,HTLM
selenium,GitHub
dns software,HP SiteScope
public health education,CoreOS
aircraft instruments,Telecommunication Management Network model
official documents,Software modernization
world war ii airfields in morocco,HOMER
television channels in italy,Process analysis
free biovisualization software,Nanotechnology
18th-century weapons,Data dictionary
file comparison tools,Erlang
7th-century english people,Binary trees
low-power fm radio stations in virginia,Project governance
opentravel alliance,Spanish
persecution of yazidis,Emerging technologies
banking terms,LEED
computer hardware cooling,Securities
organisations based in assam,Fundraising
nonlinear filters,Oracle Fusion Architecture
nosql products,SQL*Plus
asset,Password management
customer loyalty programs,Adobe Bridge
mpeg,3D CAD
electronic arts games,Multicast
load testing tools,Mortgage servicing
change detection,SR-IOV
workplace,Windows API
vector graphics editors for linux,MAS 90
tor hidden services,Total quality management
classic mac os word processors,Spectroscopy
firearms by type,Public relations
interscope records singles,Penetration testing
cryptography,VPN
internet mail protocols,Amanda
spreadsheet software for windows,ImageNow
defunct football clubs in england,Toad
chemistry,Modbus
signaling system 7,Market analysis
video games set in russia,Hardware-in-the-loop simulation
hard disk software,ArcServer
scribes,Data management
dec operating systems,Demandware
transhumanism,Information mapping
apple inc. acquisitions,V-Ray
conservative parties in the united states,Proofreading
money laundering,Network cabling
nonlinear filters,.NET Remoting
works with imslp links,Oracle WebCenter
macos instant messaging clients,IDLE
applied machine learning,PPP
singlechart usages for billboardhot100,Quality management
molecular modelling,Private equity
computational science,Data masking
"ships built in lorain, ohio",Telecommuting
threads (computing),Fusebox
clichés,Word-sense induction
ontology (information science),Production planning
united states department of energy national laboratories,Physical-to-Virtual
social programs,Adobe Audition
"chemical, biological, radiological and nuclear defense",Microsoft SCOM
cities in the san francisco bay area,Apache Synapse
lagrangian mechanics,Cryptography
video games set in russia,Semantic Web
professional sports leagues in canada,SR-IOV
jargon,IPv4
ipad,Adobe BrowserLab
european feminine given names,Oracle BI Publisher
infrared imaging,SVG
wars involving sri lanka,Jing
education terminology,Semantics
open standards covered by patents,Product management
global positioning system,Circuit design
digital photography,Technical communication
remote desktop protocols,Product packaging
social engineering (computer security),Dice.com
congressional gold medal recipients,Crowdsource testing
digital audio workstation software,Meraki
remote desktop protocols,Curriculum
ubuntu (operating system),ISIS
patent law,Scribe
chip carriers,Materials management
college of william & mary,Multiplexing
units of meteorology measurement,Microsoft Direct3D
firearm manufacturers of australia,TRIRIGA
kennedy center honorees,Data management
coordinates on wikidata,SAML
directed-energy weapons,Oscilloscope
podcasting,Cost accounting
smoke,Expense management
modems,EWM
environmental law in china,Complex programmable logic device
build automation,Google Earth
file hosting,Metasploit
craft occupations,Metro Ethernet
united states department of energy national laboratories,KNIME
linux,XML
computer connectors,DMVPN
burroughs mainframe computers,Logic analyzer
private high schools in mississippi,Polycom
accounting organizations,Adobe Brackets
cp/m technology,Engineering management
proprietary operating systems,Video game development
"people from appleton, wisconsin",Solution architecture
chief technology officers,CodeIgniter
united states air force,Animation
political philosophy,Algorithms
financial news agencies,Kentico CMS
microelectronic and microelectromechanical systems,Analytics
navigation,Compliance
statistical programming languages,Codecs
english alternative rock groups,Digital illustration
unesco,Competitor analysis
member states of the south asian association for regional cooperation,3D CAD
jet propulsion laboratory,Twitter
cross-platform free software,Windows Identity Foundation
computer access control protocols,iManager
proposed legislation of the 113th united states congress,Replication
sociological theories,Media Composer
medical humanities,Vowpal Wabbit
10th-century establishments in aruba,MongoDB
concepts in ancient greek epistemology,Consensus decision-making
communication software,Multilingual
units of meteorology measurement,FERC
fictional mercenaries,Snagit
electronic documents,CoffeeScript
urban design,JavaFX
business terms,Loss mitigation
android wear software,Adobe eLearning Suite
computer algebra system software for os x,Mobile advertising
united states department of defense agencies,Support vector machine
virginia commonwealth university,Forecasting
people associated with the new deal,NetFlow
nursing classification,Radio
liberalism,Health informatics
declarative markup languages,Technical analysis
scribes,Virtual office
hardware verification languages,Btrieve
american male radio actors,Microsoft Windows NT
integers,iBATIS
craft occupations,Wireless
network-attached storage,Software
pickup truck racing (series),Kismet
software using the apache license,CVSNT
health economics,Microscopy
subversion,Business transformation
membrane biology,Performance attribution
educational television,HAProxy
flynn's taxonomy,DreamFactory
natural language parsing,Software design
secure communication,Microsoft SharePoint Designer
distributed data storage systems,MediaWiki
garden plants of australia,Order processing
free compilers and interpreters,Fiber channel
erp software,Subject-matter expert
bamboo taxa,Change control
egyptian writers,Mortgage servicing
gases,Document engineering
netiq software,Sonet
epub readers,TACACS
youtube,Telephony
chief technology officers,ICD-10
electrical components,Windows PowerShell
information technology audit,Project commissioning
italian-language television stations,Microsoft Dynamics NAV
web browsers that use gtk+,LTE
computer-aided engineering,Nokia
dos software,Exim
software development process,Mechanics
digital audio workstation software,Product optimization
staining,NextGen
foundries,SproutCore
united states proposed federal legislation,TeamQuest
competitive intelligence,Ajax
chemical safety,ELINT
opendocument,Material characterization
chemical safety,lighttpd
precious metals,MBA
git (software),NIEM
river morphology,Email
network analysis,Predictive analytics
national symbols of saint lucia,Relationship marketing
musical composition,Exploratory testing
deified people,Formula language
free pdf software,Eclipse
software engineering costs,Protel
home economics,WinDbg
documents,Lectora
wordpress,GlassFish
microelectronic and microelectromechanical systems,Winsock
software that uses wxpython,Publisher
mpeg,CA Unicenter
cp/m files,WordPress
united states department of labor agencies,Knowledge transfer
change management,Online Help
lan airlines,Security audit
education terminology,POWL
metropolitan area networks,PlateSpin
communication design,Mobile technology
"chemical, biological, radiological and nuclear defense",Thermodynamics
orientalist painters,Liferay
unix process- and task-management-related software,Command Prompt
software using the apache license,Universe
income statement,Forensic Toolkit
directed-energy weapons,OVAL
computer terminals,Workforce management
sensors,SOAP
change management,Trade promotion management
politics by issue,Research and development
software development process,Information security governance
classic mac os programming tools,Online Help
web portals,Microscope
web scraping,x86
systems analysis,Silk Performer
convex optimization,Adobe Story
teams,Socket programming
free dicom software,EMEA
united states department of defense,iPhone
social programs,Oil & Gas
internet explorer,Derivatives
office suites for linux,ARINC
buildings and structures in guelph,Oracle Clinical
dns software,Microsoft SQL Server
exhibition tennis tournaments,LTE
craft occupations,Zend
history of labor relations in the united states,WPA
government agencies of queensland,rsync
rugby league stadiums in the united states,Oracle Policy Automation
cern experiments,OTRS
indoor arenas in canada,NCIC
json,Esri
media readers,Tactical Data Links
abortion law,Manifold alignment
automation,Integration testing
audio programming languages,Mechanics
molecular modelling,Google Web Toolkit
geobox usage tracking for river type,Cairngorm
shades of black,jQuery UI
buildings and structures in guelph,Total quality management
types of business entity,Log shipping
risk,Server virtualization
emv,VistA EHR
network-attached storage,MQTT
ethical investment,Citrix
data warehousing,Sabre
legal communication,TBMCS
venture capital,Oracle Internet Directory
